Title,Location,Area,Price,Seller Validity
"Sarangpur Height Colony : House for Sale in Sitapaila, Kathmandu","Sarangpur Height, Nagarjun, Sitapaila, Kathmandu",0-5-2-0.05 Aana,31500000 ,              Verified
"PADMA COLONY PHASE IV: Luxury &amp;amp; Comfortable Homes : House for Sale in Sitapaila, Kathmandu","Ramkot-5 Kha, Taukhel, Nagarjun Municipality, Sitapaila, Kathmandu",18-0-0-0 Ropani,24000000 ,              Verified
"BEAUTIFUL RESIDENTIAL : House for Sale in Dhapakhel, Lalitpur","Near Gems School, Dhapakhel, Lalitpur",14.5 Aana,69500000,              Verified
"NEWLY BUILT RESIDENTIAL : House for Sale in Dhapasi, Kathmandu","Tokha, Dhapasi, Kathmandu",7 Aana,64000000,              Verified
"ROSE VILLA PHASE IV : House for Sale in Budhanilkantha, Kathmandu","Naryanthan, near Comfort Housing, Budhanilkantha, Kathmandu",3-2-0-0 Ropani,37500000,              Verified
"ROSE VILLA PHASE V : House for Sale in Budhanilkantha, Kathmandu","Budhanilkantha Height, Near Budhanilkantha Temple, Budhanilkantha, Kathmandu",2-11-0-3 Ropani,39900000,              Verified
"Zenwish Row Housing Type B : House for Sale in Baniyatar, Kathmandu","Suryadarshan Height, Tokha, Baniyatar, Kathmandu",0-3-0-0 Aana,27500000,              Verified
"Zenwish Cluster Housing Type A : House for Sale in Baniyatar, Kathmandu","Suryadarshan Height, Tokha, Baniyatar, Kathmandu",0-4-1-0 Aana,36000000,              Verified
"HIMALAYAN LUXURY HOMES : House for Sale in Boudha, Kathmandu","Buwaldanda, Sundertole, Boudha, Kathmandu",0-4-0-0 Aana,34500000,              Verified
"Money Plant Housing II : House for Sale in Hattiban, Lalitpur","Nearby Little Angels School, Hattiban, Lalitpur",0-3-0-1 Aana,26000000,              Verified
"BRIHAT COMMUNITY LIVING : House for Sale in Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",0-4-0-2 Aana,35000000 ,              Verified
"PADMA COLONY PHASE III : House for Sale in Sitapaila, Kathmandu","Ramkot, Sitapaila, Nagarjun Muncipality, Sitapaila, Kathmandu",20 Ropani,31000000 ,              Verified
"Rose Villa Phase II : House for Sale in Budhanilkantha, Kathmandu","Deuba Chowk, Budhanilkantha, Kathmandu",5.50 Aana,38000000 ,              Verified
"Rose Villa : House for Sale in Budhanilkantha, Kathmandu","Siddhartha Colony, Budhanilkantha, Kathmandu",7.5 Aana,50000000 ,              Verified
"Karyabinayak Homes : House for Sale in Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",3.5 Aana,31500000 ,              Verified
