Title,Location,Area,Price,Seller Validity
"Bungalow : House for Sale in Maharajgunj, Kathmandu","Near Kanti Children Hospital, Maharajgunj, Kathmandu",0-10-0-0 Aana,"NPR.११,००,००,००० ", Verified
"House for Sale in Thamel, Kathmandu","Golkhupakha, Thamel, Thamel, Kathmandu",4 Aana,"NPR.२,६०,००,००० Onwards",
"4 Storey Residential Flat System House : House for Sale in Kalanki, Kathmandu","Kalanki Malpot, Kritipur-1, Kalanki, Kathmandu",0-4-0-0 Aana,"NPR.३,३५,००,००० Total Price", Verified
"House for sale : House for Sale in Chauthe, Pokhara","Pargati tole, Chauthe, Pokhara",133.30 Sq. Meter,"NPR.२,८०,००,००० ",
"house for rent at kapurdhara : House for Rent in Kapurdhara, Kathmandu","kapurdhara, Kapurdhara, Kathmandu",7 Aana,"NPR.१,७५,००० Per Month",
"House for rent at suryabinayak : House for Rent in Suryabinayak, Bhaktapur","suryabinayak, Suryabinayak, Bhaktapur",24 Aana,"NPR.१,६०,००० Per Month",
"2.5 storey house on rent in Sanobharyang Housing : House for Rent in Swayambhu, Kathmandu","Sanobharyang Housing, Swayambhu, Kathmandu",4.5 Aana,"NPR.७०,००० Per Month",
,,,,
"House on Sale in Ranibari : House for Sale in Ranibari, Kathmandu","Ranibari, Ranibari, Kathmandu",2.75 Aana,"NPR.२,२०,००,००० ",
"House on sale sital hight imadol : House for Sale in Imadol, Lalitpur","Sital hight, Imadol, Lalitpur",3-1-0 Aana,NPR.२५५ Onwards,
